title,author,date,comments,rating,link,image,description
GreedFall: The Dying World: Обзор европейской Dragon Age: The Veilguard,Кирилл Волошин,Дата не указана,29,,https://stopgame.ru/show/159386/greedfall_the_dying_world_review_evropeyskoy_dragon_age_the_veilguard,https://images.stopgame.ru/articles/2026/03/26/c452x252/XzWEHvS2_Unw9Ts61bakGw/jXcjNvkv.jpg,
Monster Hunter Stories 3: Twisted Reflection: Обзор лучшей части подсерии,Алексей Лихачев,Дата не указана,10,,https://stopgame.ru/show/159307/monster_hunter_stories_3_twisted_reflection_review_luchshey_chasti_podserii,https://images.stopgame.ru/articles/2026/03/22/c452x252/35mUcJ_qaOVLGYYxSaRWBQ/JRZ0YwEh.jpg,
Timberborn: Обзор медитативного градостроя о бобрах,Джуби,Дата не указана,18,,https://stopgame.ru/show/159151/timberborn_review_meditativnogo_gradostroya_o_bobrah,https://images.stopgame.ru/articles/2026/03/19/c452x252/hWcMtTGrkzSKpLOoweS93Q/T7x79xYX.jpg,
Planet of Lana II: Обзор сиквела красивейшего платформера,Алексей Лихачев,Дата не указана,4,,https://stopgame.ru/show/159090/planet_of_lana_ii_review_sikvela_krasiveyshego_platformera,https://images.stopgame.ru/articles/2026/03/17/c452x252/qmOuwh6sK-sPyEQFvGvZpA/uHAyaHzGb.jpg,
Esoteric Ebb: Обзор главной наследницы Disco Elysium,Кирилл Волошин,Дата не указана,41,,https://stopgame.ru/show/158904/esoteric_ebb_review_glavnoy_naslednicy_disco_elysium,https://images.stopgame.ru/articles/2026/03/18/c452x252/b66nRvkfKc-DNEb-KUpYbQ/89iJPPXm.jpg,
"Banquet for Fools: Обзор атмосферной CRPG, которую все пропустили",Джуби,Дата не указана,46,,https://stopgame.ru/show/158951/banquet_for_fools_review_atmosfernoy_crpg_kotoruyu_vse_propustili,https://images.stopgame.ru/articles/2026/03/12/c452x252/ULWFpPgLF1KqeWht0LLVlg/gQJm3k8.jpg,
Marathon (2026): Обзор отталкивающего и притягательного шутера,Алексей Лихачев,Дата не указана,48,,https://stopgame.ru/show/158984/marathon_2026_review_ottalkivayuschego_i_prityagatelnogo_shutera,https://images.stopgame.ru/articles/2026/03/13/c452x252/aRm5dDox54vr6i1YLY-AKA/TXIa-hAA.jpg,
Slay the Spire 2: Превью самого ожидаемого карточного рогалика,Джуби,Дата не указана,9,,https://stopgame.ru/show/158949/slay_the_spire_2_preview_samogo_ozhidaemogo_kartochnogo_rogalika,https://images.stopgame.ru/articles/2026/03/12/c452x252/Si-1EAD4d9Q8ptrshpR62A/CPBv9zlJ6.jpg,
Resident Evil Requiem: Обзор двух Resident Evil в одной,Катерина Краснопольская,Дата не указана,63,,https://stopgame.ru/show/158829/resident_evil_requiem_review_dvuh_resident_evil_v_odnoy,https://images.stopgame.ru/articles/2026/03/07/c452x252/yDpq3DL800ob91GIax8hAg/9En-kj5I.jpg,
Romeo is a Dead Man: Обзор одной из лучших игр Гоити Суды,Алексей Лихачев,Дата не указана,9,,https://stopgame.ru/show/158447/romeo_is_a_dead_man_review_odnoy_iz_luchshih_igr_goiti_sudy,https://images.stopgame.ru/articles/2026/02/23/c452x252/ROIGe2PfM6eHfVg7L4Fb6w/9s1gf2t.jpg,
